iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
ITA,Italy,"60,373,682","60,461,826","301,336 sq_km",200/sq_km,-0.16%,0.77%,24
ZAF,South Africa,"59,984,872","59,308,690","1,221,037 sq_km",49/sq_km,1.24%,0.76%,25
KEN,Kenya,"54,890,893","53,771,296","580,367 sq_km",95/sq_km,2.26%,0.70%,26
MMR,Myanmar,"54,775,416","54,409,800","676,578 sq_km",81/sq_km,0.73%,0.70%,27
KOR,South Korea,"51,301,742","51,269,185","100,210 sq_km",512/sq_km,0.07%,0.65%,28
COL,Colombia,"51,234,366","50,882,891","1,141,748 sq_km",45/sq_km,0.75%,0.65%,29
UGA,Uganda,"47,015,377","45,741,007","241,550 sq_km",195/sq_km,3.02%,0.60%,30
ESP,Spain,"46,746,326","46,754,778","505,992 sq_km",92/sq_km,-0.02%,0.59%,31
ARG,Argentina,"45,573,921","45,195,774","2,780,400 sq_km",16/sq_km,0.91%,0.58%,32
SDN,Sudan,"44,827,014","43,849,260","1,886,068 sq_km",24/sq_km,2.42%,0.57%,33
DZA,Algeria,"44,557,823","43,851,044","2,381,741 sq_km",19/sq_km,1.75%,0.57%,34
UKR,Ukraine,"43,487,254","43,733,762","603,500 sq_km",72/sq_km,-0.61%,0.55%,35
IRQ,Iraq,"41,103,899","40,222,493","438,317 sq_km",94/sq_km,2.38%,0.52%,36
AFG,Afghanistan,"39,764,217","38,928,346","652,230 sq_km",61/sq_km,2.33%,0.51%,37
CAN,Canada,"38,042,373","37,742,154","9,984,670 sq_km",4/sq_km,0.86%,0.48%,38
POL,Poland,"37,801,303","37,846,611","312,679 sq_km",121/sq_km,-0.13%,0.48%,39
MAR,Morocco,"37,311,154","36,910,560","446,550 sq_km",84/sq_km,1.18%,0.47%,40
SAU,Saudi Arabia,"35,298,617","34,813,871","2,149,690 sq_km",16/sq_km,1.51%,0.45%,41
UZB,Uzbekistan,"33,899,816","33,469,203","447,400 sq_km",76/sq_km,1.39%,0.43%,42
AGO,Angola,"33,850,076","32,866,272","1,246,700 sq_km",27/sq_km,3.25%,0.43%,43
PER,Peru,"33,329,363","32,971,854","1,285,216 sq_km",26/sq_km,1.18%,0.42%,44
MYS,Malaysia,"32,744,602","32,365,999","330,803 sq_km",99/sq_km,1.27%,0.42%,45
MOZ,Mozambique,"32,092,576","31,255,435","801,590 sq_km",40/sq_km,2.90%,0.41%,46
GHA,Ghana,"31,680,813","31,072,940","238,533 sq_km",133/sq_km,2.12%,0.40%,47
YEM,Yemen,"30,438,897","29,825,964","527,968 sq_km",58/sq_km,2.23%,0.39%,48
NPL,Nepal,"29,637,180","29,136,808","147,181 sq_km",202/sq_km,1.85%,0.38%,49
VEN,Venezuela,"28,686,739","28,435,940","916,445 sq_km",31/sq_km,0.95%,0.36%,50
MDG,Madagascar,"28,370,063","27,691,018","587,041 sq_km",48/sq_km,2.66%,0.36%,51
CMR,Cameroon,"27,171,412","26,545,863","475,442 sq_km",57/sq_km,2.56%,0.35%,52
CIV,Ivory Coast,"27,001,146","26,378,274","322,463 sq_km",84/sq_km,2.56%,0.34%,53
PRK,North Korea,"25,878,702","25,778,816","120,538 sq_km",215/sq_km,0.42%,0.33%,54
AUS,Australia,"25,765,531","25,499,884","7,692,024 sq_km",3/sq_km,1.13%,0.33%,55
NER,Niger,"25,058,582","24,206,644","1,267,000 sq_km",20/sq_km,3.82%,0.32%,56
TWN,Taiwan,"23,851,993","23,816,775","36,193 sq_km",659/sq_km,0.16%,0.30%,57
LKA,Sri Lanka,"21,490,735","21,413,249","65,610 sq_km",328/sq_km,0.39%,0.27%,58
BFA,Burkina Faso,"21,450,761","20,903,273","272,967 sq_km",79/sq_km,2.84%,0.27%,59
MLI,Mali,"20,808,631","20,250,833","1,240,192 sq_km",17/sq_km,2.99%,0.26%,60
MWI,Malawi,"19,607,326","19,129,952","118,484 sq_km",166/sq_km,2.71%,0.25%,61
CHL,Chile,"19,204,050","19,116,201","756,102 sq_km",25/sq_km,0.50%,0.24%,62
ROU,Romania,"19,136,426","19,237,691","238,391 sq_km",80/sq_km,-0.57%,0.24%,63
KAZ,Kazakhstan,"18,978,027","18,776,707","2,724,900 sq_km",7/sq_km,1.16%,0.24%,64
ZMB,Zambia,"18,878,727","18,383,955","752,612 sq_km",25/sq_km,2.92%,0.24%,65
SYR,Syria,"18,226,777","17,500,658","185,180 sq_km",99/sq_km,4.43%,0.23%,66
GTM,Guatemala,"18,223,903","17,915,568","108,889 sq_km",168/sq_km,1.87%,0.23%,67
ECU,Ecuador,"17,869,292","17,643,054","276,841 sq_km",65/sq_km,1.39%,0.23%,68
SEN,Senegal,"17,161,123","16,743,927","196,722 sq_km",87/sq_km,2.70%,0.22%,69
NLD,Netherlands,"17,170,167","17,134,872","41,850 sq_km",410/sq_km,0.22%,0.22%,70
KHM,Cambodia,"16,928,792","16,718,965","181,035 sq_km",94/sq_km,1.36%,0.22%,71
TCD,Chad,"16,876,847","16,425,864","1,284,000 sq_km",13/sq_km,2.98%,0.21%,72
SOM,Somalia,"16,323,216","15,893,222","637,657 sq_km",26/sq_km,2.93%,0.21%,73
ZWE,Zimbabwe,"15,073,984","14,862,924","390,757 sq_km",39/sq_km,1.54%,0.19%,74
GIN,Guinea,"13,469,153","13,132,795","245,857 sq_km",55/sq_km,2.78%,0.17%,75
RWA,Rwanda,"13,251,467","12,952,218","26,338 sq_km",504/sq_km,2.50%,0.17%,76
BEN,Benin,"12,425,482","12,123,200","112,622 sq_km",111/sq_km,2.70%,0.16%,77
BDI,Burundi,"12,227,142","11,890,784","27,834 sq_km",440/sq_km,3.07%,0.16%,78
TUN,Tunisia,"11,926,858","11,818,619","163,610 sq_km",73/sq_km,0.99%,0.15%,79
BOL,Bolivia,"11,820,502","11,673,021","1,098,581 sq_km",11/sq_km,1.37%,0.15%,80
BEL,Belgium,"11,628,882","11,589,623","30,528 sq_km",381/sq_km,0.37%,0.15%,81
HTI,Haiti,"11,530,841","11,402,528","27,750 sq_km",416/sq_km,1.22%,0.15%,82
SSD,South Sudan,"11,366,578","11,193,725","619,745 sq_km",18/sq_km,1.68%,0.14%,83
CUB,Cuba,"11,318,160","11,326,616","109,884 sq_km",103/sq_km,-0.08%,0.14%,84
DOM,Dominican Republic,"10,945,506","10,847,910","48,671 sq_km",225/sq_km,0.98%,0.14%,85
CZE,Czech Republic,"10,723,445","10,708,981","78,865 sq_km",136/sq_km,0.15%,0.14%,86
GRC,Greece,"10,374,729","10,423,054","131,990 sq_km",79/sq_km,-0.50%,0.13%,87
JOR,Jordan,"10,261,906","10,203,134","89,342 sq_km",115/sq_km,0.65%,0.13%,88
AZE,Azerbaijan,"10,216,796","10,139,177","86,600 sq_km",118/sq_km,0.83%,0.13%,89
PRT,Portugal,"10,170,259","10,196,709","92,090 sq_km",110/sq_km,-0.28%,0.13%,90
SWE,Sweden,"10,155,416","10,099,265","450,295 sq_km",23/sq_km,0.60%,0.13%,91
HND,Honduras,"10,050,696","9,904,607","112,492 sq_km",89/sq_km,1.60%,0.13%,92
ARE,United Arab Emirates,"9,983,120","9,890,402","83,600 sq_km",120/sq_km,1.02%,0.13%,93
TJK,Tajikistan,"9,733,290","9,537,645","143,100 sq_km",68/sq_km,2.22%,0.12%,94
HUN,Hungary,"9,636,270","9,660,351","93,028 sq_km",104/sq_km,-0.27%,0.12%,95
BLR,Belarus,"9,443,403","9,449,323","207,600 sq_km",45/sq_km,-0.07%,0.12%,96
PNG,Papua New Guinea,"9,105,633","8,947,024","462,840 sq_km",20/sq_km,1.92%,0.12%,97
AUT,Austria,"9,040,110","9,006,398","83,871 sq_km",108/sq_km,0.41%,0.11%,98
ISR,Israel,"8,779,357","8,655,535","20,770 sq_km",423/sq_km,1.55%,0.11%,99
CHE,Switzerland,"8,710,599","8,654,622","41,284 sq_km",211/sq_km,0.70%,0.11%,100
SRB,Serbia,"8,700,595","8,737,371","88,361 sq_km",98/sq_km,-0.46%,0.11%,101
TGO,Togo,"8,462,653","8,278,724","56,785 sq_km",149/sq_km,2.41%,0.11%,102
SLE,Sierra Leone,"8,128,564","7,976,983","71,740 sq_km",113/sq_km,2.06%,0.10%,103
HKG,Hong Kong,"7,548,455","7,496,981","1,104 sq_km","6,841/sq_km",0.74%,0.10%,104
LAO,Laos,"7,371,360","7,275,560","236,800 sq_km",31/sq_km,1.43%,0.09%,105
PRY,Paraguay,"7,212,893","7,132,538","406,752 sq_km",18/sq_km,1.22%,0.09%,106
LBY,Libya,"6,952,014","6,871,292","1,759,540 sq_km",4/sq_km,1.27%,0.09%,107
BGR,Bulgaria,"6,900,676","6,948,445","110,879 sq_km",62/sq_km,-0.75%,0.09%,108
LBN,Lebanon,"6,771,309","6,825,445","10,452 sq_km",648/sq_km,-0.82%,0.09%,109
NIC,Nicaragua,"6,696,294","6,624,554","130,373 sq_km",51/sq_km,1.17%,0.09%,110
KGZ,Kyrgyzstan,"6,620,301","6,524,195","199,951 sq_km",33/sq_km,1.60%,0.08%,111
SLV,El Salvador,"6,516,023","6,486,205","21,041 sq_km",310/sq_km,0.50%,0.08%,112
TKM,Turkmenistan,"6,111,207","6,031,200","488,100 sq_km",13/sq_km,1.44%,0.08%,113
SGP,Singapore,"5,892,929","5,850,342",710 sq_km,"8,305/sq_km",0.79%,0.07%,114
DNK,Denmark,"5,811,647","5,792,202","43,094 sq_km",135/sq_km,0.36%,0.07%,115
COG,Republic Of The Congo,"5,646,198","5,518,087","342,000 sq_km",17/sq_km,2.52%,0.07%,116
FIN,Finland,"5,547,734","5,540,720","338,424 sq_km",16/sq_km,0.14%,0.07%,117
NOR,Norway,"5,462,072","5,421,241","323,802 sq_km",17/sq_km,0.82%,0.07%,118
SVK,Slovakia,"5,460,693","5,459,642","49,037 sq_km",111/sq_km,0.02%,0.07%,119
OMN,Oman,"5,213,783","5,106,626","309,500 sq_km",17/sq_km,2.29%,0.07%,120
PSE,Palestine,"5,213,413","5,101,414","6,220 sq_km",840/sq_km,2.38%,0.07%,121
LBR,Liberia,"5,170,611","5,057,681","111,369 sq_km",47/sq_km,2.42%,0.07%,122
CRI,Costa Rica,"5,135,580","5,094,118","51,100 sq_km",101/sq_km,0.88%,0.07%,123
IRL,Ireland,"4,979,520","4,937,786","70,273 sq_km",71/sq_km,0.91%,0.06%,124
CAF,Central African Republic,"4,913,122","4,829,767","622,984 sq_km",8/sq_km,1.87%,0.06%,125
NZL,New Zealand,"4,857,598","4,822,233","270,467 sq_km",18/sq_km,0.80%,0.06%,126
MRT,Mauritania,"4,765,385","4,649,658","1,030,700 sq_km",5/sq_km,2.70%,0.06%,127
PAN,Panama,"4,376,427","4,314,767","75,417 sq_km",58/sq_km,1.55%,0.06%,128
KWT,Kuwait,"4,323,512","4,270,571","17,818 sq_km",243/sq_km,1.36%,0.05%,129
HRV,Croatia,"4,083,501","4,105,267","56,594 sq_km",72/sq_km,-0.58%,0.05%,130
MDA,Moldova,"4,024,816","4,033,963","33,846 sq_km",119/sq_km,-0.25%,0.05%,131
GEO,Georgia,"3,980,533","3,989,167","69,700 sq_km",57/sq_km,-0.24%,0.05%,132
ERI,Eritrea,"3,597,198","3,546,421","117,600 sq_km",31/sq_km,1.55%,0.05%,133
URY,Uruguay,"3,484,269","3,473,730","181,034 sq_km",19/sq_km,0.33%,0.04%,134
MNG,Mongolia,"3,325,333","3,278,290","1,564,110 sq_km",2/sq_km,1.56%,0.04%,135
BIH,Bosnia And Herzegovina,"3,265,031","3,280,819","51,209 sq_km",64/sq_km,-0.53%,0.04%,136
JAM,Jamaica,"2,972,524","2,961,167","10,991 sq_km",271/sq_km,0.42%,0.04%,137
ARM,Armenia,"2,967,757","2,963,243","29,743 sq_km",100/sq_km,0.16%,0.04%,138
QAT,Qatar,"2,926,316","2,881,053","11,586 sq_km",253/sq_km,1.72%,0.04%,139
ALB,Albania,"2,873,360","2,877,797","28,748 sq_km",100/sq_km,-0.17%,0.04%,140
PRI,Puerto Rico,"2,831,073","2,860,853","8,870 sq_km",319/sq_km,-1.14%,0.04%,141
LTU,Lithuania,"2,692,395","2,722,289","65,300 sq_km",41/sq_km,-1.19%,0.03%,142
NAM,Namibia,"2,583,758","2,540,905","825,615 sq_km",3/sq_km,1.83%,0.03%,143
GMB,Gambia,"2,481,480","2,416,668","10,689 sq_km",233/sq_km,2.91%,0.03%,144
BWA,Botswana,"2,393,769","2,351,627","582,000 sq_km",4/sq_km,1.94%,0.03%,145
GAB,Gabon,"2,274,641","2,225,734","267,668 sq_km",9/sq_km,2.39%,0.03%,146
LSO,Lesotho,"2,157,741","2,142,249","30,355 sq_km",71/sq_km,0.79%,0.03%,147
MKD,North Macedonia,"2,082,743","2,083,374","25,713 sq_km",81/sq_km,-0.03%,0.03%,148
SVN,Slovenia,"2,078,724","2,078,938","20,273 sq_km",103/sq_km,-0.01%,0.03%,149
GNB,Guinea Bissau,"2,011,794","1,968,001","36,125 sq_km",56/sq_km,2.41%,0.03%,150
LVA,Latvia,"1,868,422","1,886,198","64,559 sq_km",29/sq_km,-1.02%,0.02%,151
BHR,Bahrain,"1,744,710","1,701,575",765 sq_km,"2,285/sq_km",2.75%,0.02%,152
GNQ,Equatorial Guinea,"1,446,253","1,402,985","28,051 sq_km",52/sq_km,3.34%,0.02%,153
TTO,Trinidad And Tobago,"1,403,062","1,399,488","5,130 sq_km",274/sq_km,0.28%,0.02%,154
TLS,Timor Leste,"1,341,909","1,318,445","14,874 sq_km",90/sq_km,1.93%,0.02%,155
EST,Estonia,"1,325,299","1,326,535","45,227 sq_km",29/sq_km,-0.10%,0.02%,156
MUS,Mauritius,"1,273,319","1,271,768","2,040 sq_km",624/sq_km,0.13%,0.02%,157
CYP,Cyprus,"1,214,929","1,207,359","9,251 sq_km",131/sq_km,0.68%,0.02%,158
DJI,Djibouti,"1,001,105","988,000","23,200 sq_km",43/sq_km,1.44%,0.01%,160
FJI,Fiji,"902,422","896,445","18,272 sq_km",49/sq_km,0.72%,0.01%,161
RU,Reunion,"901,202","895,312","2,511 sq_km",359/sq_km,0.71%,0.01%,162
COM,Comoros,"886,971","869,601","1,862 sq_km",477/sq_km,2.17%,0.01%,163
GUY,Guyana,"790,041","786,552","214,969 sq_km",4/sq_km,0.48%,0.01%,164
BTN,Bhutan,"779,243","771,608","38,394 sq_km",20/sq_km,1.07%,0.01%,165
SLB,Solomon Islands,"702,658","686,884","28,896 sq_km",24/sq_km,2.49%,0.01%,166
MAC,Macau,"657,654","649,335",30 sq_km,"21,946/sq_km",1.40%,0.01%,167
LUX,Luxembourg,"634,102","625,978","2,586 sq_km",245/sq_km,1.41%,0.01%,168
MNE,Montenegro,"628,053","628,066","13,812 sq_km",45/sq_km,-0.00%,0.01%,169
ESH,Western Sahara,"610,765","597,339","266,000 sq_km",2/sq_km,2.43%,0.01%,170
SUR,Suriname,"591,402","586,632","163,820 sq_km",4/sq_km,0.88%,0.01%,171
CPV,Cape Verde,"561,443","555,987","4,033 sq_km",139/sq_km,1.06%,0.01%,172
MDV,Maldives,"543,275","540,544",300 sq_km,"1,812/sq_km",0.57%,0.01%,173
MLT,Malta,"442,670","441,543",316 sq_km,"1,401/sq_km",0.28%,0.01%,174
BRN,Brunei,"441,219","437,479","5,765 sq_km",77/sq_km,0.93%,0.01%,175
BLZ,Belize,"404,345","397,628","22,966 sq_km",18/sq_km,1.83%,0.01%,176
BHS,Bahamas,"396,628","393,244","13,943 sq_km",28/sq_km,0.93%,0.01%,178
MTQ,Martinique,"374,802","375,265","1,128 sq_km",332/sq_km,-0.14%,0.00%,179
ISL,Iceland,"343,182","341,243","103,000 sq_km",3/sq_km,0.62%,0.00%,180
VUT,Vanuatu,"313,895","307,145","12,189 sq_km",26/sq_km,2.38%,0.00%,181
NCL,New Caledonia,"288,019","285,498","18,575 sq_km",16/sq_km,0.95%,0.00%,183
BRB,Barbados,"287,683","287,375",430 sq_km,669/sq_km,0.12%,0.00%,184
PYF,French Polynesia,"282,416","280,908","4,167 sq_km",68/sq_km,0.58%,0.00%,185
MYT,Mayotte,"279,003","272,815",374 sq_km,747/sq_km,2.46%,0.00%,186
STP,Sao Tome And Principe,"223,026","219,159",964 sq_km,232/sq_km,1.92%,0.00%,187
WSM,Samoa,"200,035","198,414","2,842 sq_km",70/sq_km,0.87%,0.00%,188
LCA,Saint Lucia,"184,343","183,627",616 sq_km,299/sq_km,0.42%,0.00%,189
GUM,Guam,"170,065","168,775",549 sq_km,310/sq_km,0.83%,0.00%,190
CUW,Curacao,"164,741","164,093",444 sq_km,371/sq_km,0.43%,0.00%,191
KIR,Kiribati,"121,250","119,449",811 sq_km,150/sq_km,1.63%,0.00%,192
FSM,Micronesia,"116,169","115,023",702 sq_km,166/sq_km,1.07%,0.00%,193
GRD,Grenada,"112,993","112,523",344 sq_km,329/sq_km,0.44%,0.00%,194
VCT,Saint Vincent And The Grenadines,"111,263","110,940",389 sq_km,286/sq_km,0.29%,0.00%,195
ABW,Aruba,"107,204","106,766",180 sq_km,596/sq_km,0.41%,0.00%,196
TON,Tonga,"106,675","105,695",747 sq_km,143/sq_km,1.01%,0.00%,197
VIR,United States Virgin Islands,"104,254","104,425",347 sq_km,300/sq_km,-0.19%,0.00%,198
SYC,Seychelles,"98,880","98,347",452 sq_km,219/sq_km,0.57%,0.00%,199
ATG,Antigua And Barbuda,"98,674","97,929",442 sq_km,223/sq_km,0.82%,0.00%,200
IMN,Isle Of Man,"85,410","85,033",572 sq_km,149/sq_km,0.44%,0.00%,201
AND,Andorra,"77,355","77,265",468 sq_km,165/sq_km,0.12%,0.00%,202
DMA,Dominica,"72,167","71,986",751 sq_km,96/sq_km,0.25%,0.00%,203
CYM,Cayman Islands,"66,497","65,722",264 sq_km,252/sq_km,1.18%,0.00%,204
BMU,Bermuda,"62,090","62,278",54 sq_km,"1,150/sq_km",-0.30%,0.00%,205
MHL,Marshall Islands,"59,610","59,190",181 sq_km,329/sq_km,0.71%,0.00%,206
MNP,Northern Mariana Islands,"57,917","57,559",464 sq_km,125/sq_km,0.62%,0.00%,207
GRL,Greenland,"56,877","56,770","2,166,086 sq_km",0/sq_km,0.19%,0.00%,208
ASM,American Samoa,"55,100","55,191",199 sq_km,277/sq_km,-0.16%,0.00%,209
KNA,Saint Kitts And Nevis,"53,544","53,199",261 sq_km,205/sq_km,0.65%,0.00%,210
FRO,Faroe Islands,"49,049","48,863","1,393 sq_km",35/sq_km,0.38%,0.00%,211
MAF,Sint Maarten,"43,412","42,876",34 sq_km,"1,277/sq_km",1.25%,0.00%,212
MCO,Monaco,"39,511","39,242",2 sq_km,"19,756/sq_km",0.69%,0.00%,213
MAF,Saint Martin,"39,234","38,666",53 sq_km,740/sq_km,1.47%,0.00%,214
TCA,Turks And Caicos Islands,"39,231","38,717",948 sq_km,41/sq_km,1.33%,0.00%,215
LIE,Liechtenstein,"38,250","38,128",160 sq_km,239/sq_km,0.32%,0.00%,216
SMR,San Marino,"34,017","33,931",61 sq_km,558/sq_km,0.25%,0.00%,217
GIB,Gibraltar,"33,698","33,691",6 sq_km,"5,616/sq_km",0.02%,0.00%,218
PLW,Palau,"18,169","18,094",459 sq_km,40/sq_km,0.41%,0.00%,220
COK,Cook Islands,"17,565","17,564",236 sq_km,74/sq_km,0.01%,0.00%,221
AIA,Anguilla,"15,117","15,003",91 sq_km,166/sq_km,0.76%,0.00%,222
TUV,Tuvalu,"11,931","11,792",26 sq_km,459/sq_km,1.18%,0.00%,223
WLF,Wallis And Futuna,"11,094","11,239",142 sq_km,78/sq_km,-1.29%,0.00%,224
NRU,Nauru,"10,876","10,824",21 sq_km,518/sq_km,0.48%,0.00%,225
BL,Saint Barthelemy,"9,907","9,877",21 sq_km,472/sq_km,0.30%,0.00%,226
SPM,Saint Pierre And Miquelon,"5,766","5,794",242 sq_km,24/sq_km,-0.48%,0.00%,227
MSR,Montserrat,"4,977","4,992",102 sq_km,49/sq_km,-0.30%,0.00%,228
FLK,Falkland Islands,"3,533","3,480","12,173 sq_km",0/sq_km,1.52%,0.00%,229
NIU,Niue,"1,619","1,626",260 sq_km,6/sq_km,-0.43%,0.00%,230
TKL,Tokelau,"1,373","1,357",12 sq_km,114/sq_km,1.18%,0.00%,231
VAT,Vatican City,800,801,1 sq_km,800/sq_km,-0.12%,0.00%,232
